backbone,checkpoint,cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,dataset,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pair_mode,pid,rss_mb,run_id,runtime_log,seconds_since_start,seed,shots,step,timestamp,val_top1
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,720,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,287.636692343,,,312,2026-05-10T09:34:49.734347Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,740,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,294.851029454,,,332,2026-05-10T09:34:56.948820Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,760,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,302.056365149,,,352,2026-05-10T09:35:04.154088Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,780,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,309.264619186,,,372,2026-05-10T09:35:11.362389Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,800,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,316.507697021,,,392,2026-05-10T09:35:18.605267Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,816,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,322.258024031,,,408,2026-05-10T09:35:24.355535Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,820,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.0625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,330.076333221,,,4,2026-05-10T09:35:32.171977Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,840,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5339.0625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,337.267711553,,,24,2026-05-10T09:35:39.364817Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,860,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.0625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,344.476402568,,,44,2026-05-10T09:35:46.573648Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,880,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.0625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,351.758640159,,,64,2026-05-10T09:35:53.854973Z,
