cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pid,rss_mb,run_id,runtime_log,seconds_since_start,step,timestamp
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1080,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,735.949532362,296,2026-05-10T09:44:05.582018Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1100,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,748.765142723,316,2026-05-10T09:44:18.397738Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1120,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,761.582790039,336,2026-05-10T09:44:31.215204Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1140,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,774.439726572,356,2026-05-10T09:44:44.072354Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1160,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,787.3572160150001,376,2026-05-10T09:44:56.989821Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1180,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,800.272695013,396,2026-05-10T09:45:09.905358Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1200,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,813.137764256,416,2026-05-10T09:45:22.770307Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1220,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,825.9935594570001,436,2026-05-10T09:45:35.625995Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1240,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,838.849655772,456,2026-05-10T09:45:48.481986Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1260,23034.0,8216.875,98,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,851.72237612,476,2026-05-10T09:46:01.354848Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1280,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,864.5776954080001,496,2026-05-10T09:46:14.210223Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1300,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,877.4349704900001,516,2026-05-10T09:46:27.067418Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1320,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,890.332140198,536,2026-05-10T09:46:39.964485Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1340,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,903.187247863,556,2026-05-10T09:46:52.819716Z
